,mean,median,mode,std,var,min,25%,50%,75%,max,skewness,kurtosis,IQR
year_of_selection,1985.589,1987.000,1978.000,12.219,149.308,1959.000,1978.000,1987.000,1995.000,2018.000,-0.302,-0.441,
mission_number,1.992,2.000,1.000,1.145,1.312,1.000,1.000,2.000,3.000,7.000,1.169,1.008,
total_number_of_missions,2.983,3.000,2.000,1.401,1.962,1.000,2.000,3.000,4.000,7.000,0.427,-0.366,
year_of_mission,1994.597,1995.000,1985.000,12.583,158.338,1961.000,1986.000,1995.000,2003.000,2019.000,-0.376,-0.208,
hours_mission,1050.884,261.000,283.000,1714.792,2940511.461,0.000,190.030,261.000,382.000,10505.000,2.092,4.316,191.970
total_hrs_sum,2968.341,932.000,565.000,4214.715,17763823.409,0.610,482.000,932.000,4264.000,21083.520,2.068,3.911,
eva_hrs_mission,3.661,0.000,0.000,7.287,53.104,0.000,0.000,0.000,4.720,89.130,2.955,17.142,
total_eva_hrs,10.761,0.000,0.000,16.045,257.450,0.000,0.000,0.000,19.520,78.800,1.624,2.124,
age,42.914,42.000,39.000,5.820,33.867,26.000,39.000,42.000,47.000,77.000,0.458,0.834,
years_since_selection,9.009,8.000,6.000,5.133,26.352,-9.000,5.000,8.000,12.000,39.000,0.737,1.202,
